gender,months,percentile,length
f,0,1,44.8
f,0,3,45.6
f,0,5,46.1
f,0,10,46.8
f,0,15,47.2
f,0,25,47.9
f,0,50,49.1
f,0,75,50.4
f,0,85,51.1
f,0,90,51.5
f,0,95,52.2
f,0,97,52.7
f,0,99,53.5
f,1,1,49.1
f,1,3,50
f,1,5,50.5
f,1,10,51.2
f,1,15,51.7
f,1,25,52.4
f,1,50,53.7
f,1,75,55
f,1,85,55.7
f,1,90,56.2
f,1,95,56.9
f,1,97,57.4
f,1,99,58.2
f,2,1,52.3
f,2,3,53.2
f,2,5,53.7
f,2,10,54.5
f,2,15,55
f,2,25,55.7
f,2,50,57.1
f,2,75,58.4
f,2,85,59.2
f,2,90,59.7
f,2,95,60.4
f,2,97,60.9
f,2,99,61.8
f,3,1,54.9
f,3,3,55.8
f,3,5,56.3
f,3,10,57.1
f,3,15,57.6
f,3,25,58.4
f,3,50,59.8
f,3,75,61.2
f,3,85,62
f,3,90,62.5
f,3,95,63.3
f,3,97,63.8
f,3,99,64.7
f,4,1,57.1
f,4,3,58
f,4,5,58.5
f,4,10,59.3
f,4,15,59.8
f,4,25,60.6
f,4,50,62.1
f,4,75,63.5
f,4,85,64.3
f,4,90,64.9
f,4,95,65.7
f,4,97,66.2
f,4,99,67.1
f,5,1,58.9
f,5,3,59.9
f,5,5,60.4
f,5,10,61.2
f,5,15,61.7
f,5,25,62.5
f,5,50,64
f,5,75,65.5
f,5,85,66.3
f,5,90,66.9
f,5,95,67.7
f,5,97,68.2
f,5,99,69.2
f,6,1,60.5
f,6,3,61.5
f,6,5,62
f,6,10,62.8
f,6,15,63.4
f,6,25,64.2
f,6,50,65.7
f,6,75,67.3
f,6,85,68.1
f,6,90,68.6
f,6,95,69.5
f,6,97,70
f,6,99,71
f,7,1,61.9
f,7,3,62.9
f,7,5,63.5
f,7,10,64.3
f,7,15,64.9
f,7,25,65.7
f,7,50,67.3
f,7,75,68.8
f,7,85,69.7
f,7,90,70.3
f,7,95,71.1
f,7,97,71.6
