,Denomination Count
A,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1,1.5974044799804688e-05,5.9604644775390625e-06,5.9604644775390625e-06,6.198883056640625e-06,5.9604644775390625e-06,5.9604644775390625e-06,6.198883056640625e-06,5.0067901611328125e-06,5.0067901611328125e-06,5.9604644775390625e-06,5.9604644775390625e-06,5.9604644775390625e-06,6.9141387939453125e-06,7.152557373046875e-06,7.867813110351562e-06,6.9141387939453125e-06,7.152557373046875e-06,6.9141387939453125e-06,6.9141387939453125e-06,8.106231689453125e-06,8.106231689453125e-06,8.821487426757812e-06,8.821487426757812e-06,7.867813110351562e-06,9.059906005859375e-06,8.106231689453125e-06,9.059906005859375e-06,8.106231689453125e-06,8.106231689453125e-06,9.059906005859375e-06
2,1.5020370483398438e-05,1.2159347534179688e-05,1.0967254638671875e-05,1.1205673217773438e-05,1.1920928955078125e-05,2.8133392333984375e-05,1.3113021850585938e-05,1.2874603271484375e-05,1.2159347534179688e-05,1.3113021850585938e-05,1.3113021850585938e-05,1.3828277587890625e-05,1.5020370483398438e-05,1.6927719116210938e-05,1.621246337890625e-05,1.6927719116210938e-05,1.71661376953125e-05,1.7881393432617188e-05,1.9073486328125e-05,1.811981201171875e-05,1.9073486328125e-05,2.002716064453125e-05,2.002716064453125e-05,2.002716064453125e-05,2.09808349609375e-05,2.002716064453125e-05,2.09808349609375e-05,2.09808349609375e-05,3.4809112548828125e-05,2.5987625122070312e-05
3,1.9073486328125e-05,1.6927719116210938e-05,1.71661376953125e-05,1.7881393432617188e-05,1.811981201171875e-05,1.9073486328125e-05,1.7881393432617188e-05,1.8835067749023438e-05,1.9788742065429688e-05,2.002716064453125e-05,2.09808349609375e-05,2.09808349609375e-05,2.4080276489257812e-05,2.4080276489257812e-05,2.5033950805664062e-05,2.5033950805664062e-05,2.5987625122070312e-05,2.6941299438476562e-05,2.7894973754882812e-05,2.7894973754882812e-05,2.9087066650390625e-05,3.0040740966796875e-05,3.0994415283203125e-05,3.0994415283203125e-05,3.1948089599609375e-05,3.1948089599609375e-05,3.2901763916015625e-05,3.314018249511719e-05,3.409385681152344e-05,3.600120544433594e-05
4,3.504753112792969e-05,4.76837158203125e-06,5.9604644775390625e-06,5.0067901611328125e-06,5.0067901611328125e-06,1.0013580322265625e-05,5.9604644775390625e-06,5.0067901611328125e-06,5.9604644775390625e-06,5.9604644775390625e-06,5.9604644775390625e-06,5.9604644775390625e-06,5.9604644775390625e-06,7.152557373046875e-06,6.9141387939453125e-06,7.152557373046875e-06,6.9141387939453125e-06,8.106231689453125e-06,8.106231689453125e-06,8.106231689453125e-06,7.867813110351562e-06,8.106231689453125e-06,8.106231689453125e-06,7.867813110351562e-06,7.867813110351562e-06,8.821487426757812e-06,7.867813110351562e-06,9.059906005859375e-06,9.059906005859375e-06,1.0013580322265625e-05
5,2.6941299438476562e-05,1.5020370483398438e-05,1.5020370483398438e-05,1.6927719116210938e-05,1.5974044799804688e-05,1.6927719116210938e-05,1.6927719116210938e-05,1.7881393432617188e-05,1.811981201171875e-05,1.9073486328125e-05,1.9073486328125e-05,2.002716064453125e-05,2.09808349609375e-05,2.3126602172851562e-05,2.193450927734375e-05,2.3126602172851562e-05,2.288818359375e-05,2.384185791015625e-05,2.47955322265625e-05,2.5033950805664062e-05,2.5987625122070312e-05,2.6941299438476562e-05,2.7179718017578125e-05,2.7894973754882812e-05,2.8133392333984375e-05,2.9087066650390625e-05,4.1961669921875e-05,4.601478576660156e-05,3.504753112792969e-05,3.314018249511719e-05
6,3.2901763916015625e-05,3.0040740966796875e-05,3.1948089599609375e-05,3.409385681152344e-05,3.504753112792969e-05,3.504753112792969e-05,3.504753112792969e-05,3.600120544433594e-05,3.695487976074219e-05,3.886222839355469e-05,3.886222839355469e-05,4.100799560546875e-05,4.410743713378906e-05,4.506111145019531e-05,4.696846008300781e-05,4.7206878662109375e-05,4.887580871582031e-05,4.887580871582031e-05,5.1021575927734375e-05,6.29425048828125e-05,5.91278076171875e-05,5.602836608886719e-05,5.602836608886719e-05,5.698204040527344e-05,5.888938903808594e-05,6.008148193359375e-05,6.103515625e-05,6.198883056640625e-05,6.29425048828125e-05,6.699562072753906e-05
7,3.719329833984375e-05,5.1021575927734375e-05,5.507469177246094e-05,5.698204040527344e-05,5.91278076171875e-05,8.20159912109375e-05,5.91278076171875e-05,6.604194641113281e-05,6.198883056640625e-05,6.508827209472656e-05,6.604194641113281e-05,6.794929504394531e-05,7.390975952148438e-05,7.796287536621094e-05,7.891654968261719e-05,8.106231689453125e-05,8.296966552734375e-05,8.606910705566406e-05,9.393692016601562e-05,8.797645568847656e-05,9.298324584960938e-05,9.608268737792969e-05,9.703636169433594e-05,0.00010013580322265625,0.00010085105895996094,0.00010180473327636719,0.0001049041748046875,0.00010800361633300781,0.00011706352233886719,0.00011610984802246094
8,4.291534423828125e-05,6.103515625e-05,6.4849853515625e-05,6.818771362304688e-05,6.985664367675781e-05,6.794929504394531e-05,7.796287536621094e-05,7.319450378417969e-05,7.390975952148438e-05,7.700920104980469e-05,9.083747863769531e-05,8.678436279296875e-05,8.893013000488281e-05,9.202957153320312e-05,9.393692016601562e-05,9.703636169433594e-05,0.00010013580322265625,0.00010204315185546875,0.00010395050048828125,0.00010609626770019531,0.00011897087097167969,0.00011396408081054688,0.00011682510375976562,0.00011777877807617188,0.00012087821960449219,0.0001239776611328125,0.0001277923583984375,0.00012993812561035156,0.0001361370086669922,0.0001380443572998047
9,4.696846008300781e-05,8.0108642578125e-05,5.9604644775390625e-06,5.0067901611328125e-06,5.0067901611328125e-06,6.198883056640625e-06,5.9604644775390625e-06,5.0067901611328125e-06,5.0067901611328125e-06,5.9604644775390625e-06,5.9604644775390625e-06,5.9604644775390625e-06,6.9141387939453125e-06,5.9604644775390625e-06,6.9141387939453125e-06,7.152557373046875e-06,6.9141387939453125e-06,6.9141387939453125e-06,7.152557373046875e-06,6.9141387939453125e-06,7.867813110351562e-06,8.106231689453125e-06,8.106231689453125e-06,7.867813110351562e-06,8.821487426757812e-06,7.867813110351562e-06,9.059906005859375e-06,8.106231689453125e-06,9.059906005859375e-06,9.059906005859375e-06
10,5.221366882324219e-05,0.00011491775512695312,4.8160552978515625e-05,4.887580871582031e-05,5.078315734863281e-05,6.198883056640625e-05,5.602836608886719e-05,5.1975250244140625e-05,5.316734313964844e-05,5.507469177246094e-05,5.698204040527344e-05,5.91278076171875e-05,6.508827209472656e-05,6.699562072753906e-05,6.794929504394531e-05,7.009506225585938e-05,7.104873657226562e-05,7.319450378417969e-05,7.390975952148438e-05,7.581710815429688e-05,8.58306884765625e-05,8.20159912109375e-05,8.392333984375e-05,8.511543273925781e-05,8.797645568847656e-05,8.916854858398438e-05,9.107589721679688e-05,9.202957153320312e-05,9.298324584960938e-05,9.799003601074219e-05
