,Denomination Count
A,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
100,0.00017595291137695312,0.00023508071899414062,0.00024700164794921875,0.0002789497375488281,0.00031185150146484375,0.00034308433532714844,0.00037217140197753906,0.0003910064697265625,0.0004038810729980469,0.0004057884216308594,0.0004258155822753906,0.0004248619079589844,0.00043201446533203125,0.0004458427429199219,0.00045180320739746094,0.0004639625549316406,0.00047707557678222656,0.0004799365997314453,0.0005171298980712891,0.0005140304565429688,0.0005171298980712891,0.0005350112915039062,0.0005509853363037109,0.0005440711975097656,0.0005719661712646484,0.0005578994750976562,0.0005731582641601562,0.0005819797515869141,0.0005872249603271484,0.0006108283996582031
200,0.00034689903259277344,0.0004401206970214844,0.0004889965057373047,0.0005660057067871094,0.0006380081176757812,0.0007069110870361328,0.0007531642913818359,0.0008080005645751953,0.0008411407470703125,0.00090789794921875,0.0009381771087646484,0.0009760856628417969,0.0009970664978027344,0.00102996826171875,0.0010399818420410156,0.0010721683502197266,0.0010900497436523438,0.0011210441589355469,0.0011298656463623047,0.0011420249938964844,0.0011661052703857422,0.0011839866638183594,0.0012030601501464844,0.0012371540069580078,0.0012500286102294922,0.001260995864868164,0.0012769699096679688,0.0013048648834228516,0.0013151168823242188,0.0013279914855957031
300,0.0005309581756591797,0.0006499290466308594,0.0007460117340087891,0.0008528232574462891,0.000949859619140625,0.0010759830474853516,0.0011470317840576172,0.0012481212615966797,0.0013189315795898438,0.0014009475708007812,0.0014560222625732422,0.0015609264373779297,0.0016121864318847656,0.0016629695892333984,0.001692056655883789,0.0017619132995605469,0.0017879009246826172,0.0018172264099121094,0.0018749237060546875,0.0018839836120605469,0.001912832260131836,0.0019478797912597656,0.0019872188568115234,0.002023935317993164,0.0020520687103271484,0.0020570755004882812,0.0020830631256103516,0.002103090286254883,0.0021419525146484375,0.002179861068725586
400,0.0007128715515136719,0.000865936279296875,0.0010180473327636719,0.001157999038696289,0.0012972354888916016,0.0014579296112060547,0.0015561580657958984,0.0016989707946777344,0.001806020736694336,0.0019309520721435547,0.002003908157348633,0.0021500587463378906,0.0022270679473876953,0.002338886260986328,0.0023839473724365234,0.002504110336303711,0.0025620460510253906,0.0026149749755859375,0.0026760101318359375,0.0027201175689697266,0.0027561187744140625,0.0027980804443359375,0.0028438568115234375,0.0029108524322509766,0.002941131591796875,0.0029511451721191406,0.002997875213623047,0.0030400753021240234,0.0030820369720458984,0.003116130828857422
500,0.0009028911590576172,0.0010690689086914062,0.0012769699096679688,0.001447916030883789,0.0016200542449951172,0.0017991065979003906,0.0019469261169433594,0.0021109580993652344,0.0022420883178710938,0.002415895462036133,0.002526998519897461,0.0027010440826416016,0.0027871131896972656,0.0029489994049072266,0.003042936325073242,0.003186941146850586,0.0032901763916015625,0.0033788681030273438,0.0034699440002441406,0.0035331249237060547,0.003628969192504883,0.003662109375,0.0037250518798828125,0.0038051605224609375,0.0038499832153320312,0.0038700103759765625,0.0039081573486328125,0.003946065902709961,0.004011869430541992,0.004058837890625
600,0.001171112060546875,0.0013170242309570312,0.0015780925750732422,0.0017669200897216797,0.0019829273223876953,0.0022089481353759766,0.002377033233642578,0.002585887908935547,0.002730131149291992,0.0029480457305908203,0.0030951499938964844,0.003319978713989258,0.00345611572265625,0.003641843795776367,0.003744840621948242,0.003935098648071289,0.004091024398803711,0.00419306755065918,0.004352092742919922,0.004444122314453125,0.0045490264892578125,0.0046389102935791016,0.004704952239990234,0.004821062088012695,0.004873991012573242,0.004911899566650391,0.004962921142578125,0.005017995834350586,0.005089998245239258,0.0051479339599609375
700,0.0012798309326171875,0.0014958381652832031,0.0017850399017333984,0.0020308494567871094,0.0022499561309814453,0.002529144287109375,0.002744913101196289,0.002997875213623047,0.0031731128692626953,0.0034210681915283203,0.0036101341247558594,0.0038521289825439453,0.00400996208190918,0.00433802604675293,0.004406929016113281,0.004633903503417969,0.00477290153503418,0.00493621826171875,0.005096912384033203,0.005244016647338867,0.0053768157958984375,0.005527973175048828,0.005624055862426758,0.00574803352355957,0.005861043930053711,0.005888938903808594,0.0059888362884521484,0.006053924560546875,0.0061130523681640625,0.006167173385620117
800,0.0015299320220947266,0.001847982406616211,0.0021622180938720703,0.002424001693725586,0.002755880355834961,0.003020048141479492,0.003504037857055664,0.0035889148712158203,0.00380706787109375,0.0041120052337646484,0.004316091537475586,0.0045850276947021484,0.004817962646484375,0.005071163177490234,0.005249977111816406,0.005522012710571289,0.005721092224121094,0.005939006805419922,0.006134986877441406,0.006345033645629883,0.006502866744995117,0.006657838821411133,0.006846904754638672,0.007013082504272461,0.007158041000366211,0.0072460174560546875,0.007351875305175781,0.007413148880004883,0.007525920867919922,0.007630109786987305
900,0.0016968250274658203,0.002009868621826172,0.00238800048828125,0.0026748180389404297,0.002997159957885742,0.0033669471740722656,0.0036449432373046875,0.003937959671020508,0.0042688846588134766,0.004537105560302734,0.004848957061767578,0.005120992660522461,0.005352020263671875,0.005647897720336914,0.005908966064453125,0.00616908073425293,0.006386995315551758,0.006620883941650391,0.006875038146972656,0.007178068161010742,0.007311105728149414,0.0075070858001708984,0.007691860198974609,0.007886886596679688,0.008108139038085938,0.00822591781616211,0.008308887481689453,0.008453130722045898,0.008533000946044922,0.008690118789672852
1000,0.0018658638000488281,0.0022749900817871094,0.002710103988647461,0.0030469894409179688,0.0033910274505615234,0.003801107406616211,0.004140138626098633,0.004464864730834961,0.00471186637878418,0.0051081180572509766,0.0053899288177490234,0.005743980407714844,0.006042957305908203,0.006372928619384766,0.006627082824707031,0.006974935531616211,0.007252931594848633,0.007544040679931641,0.007851123809814453,0.008059978485107422,0.008311033248901367,0.008526802062988281,0.008816003799438477,0.009083032608032227,0.00925898551940918,0.009404897689819336,0.009541034698486328,0.009704113006591797,0.009874105453491211,0.009980916976928711
