,Denomination Count
A,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
100,2.09808349609375e-05,1.0013580322265625e-05,1.0967254638671875e-05,1.0013580322265625e-05,9.059906005859375e-06,1.0967254638671875e-05,1.0013580322265625e-05,1.0013580322265625e-05,1.1920928955078125e-05,1.0013580322265625e-05,1.0013580322265625e-05,1.0967254638671875e-05,1.1205673217773438e-05,1.1920928955078125e-05,1.2159347534179688e-05,1.0967254638671875e-05,1.0967254638671875e-05,1.1920928955078125e-05,1.1920928955078125e-05,1.1920928955078125e-05,1.1920928955078125e-05,1.2874603271484375e-05,1.3113021850585938e-05,1.3113021850585938e-05,1.4066696166992188e-05,1.4066696166992188e-05,1.4066696166992188e-05,1.4066696166992188e-05,1.3113021850585938e-05,1.4066696166992188e-05
200,1.1920928955078125e-05,9.059906005859375e-06,1.0013580322265625e-05,1.0013580322265625e-05,9.059906005859375e-06,1.0967254638671875e-05,9.775161743164062e-06,1.0013580322265625e-05,1.1920928955078125e-05,1.0013580322265625e-05,1.4066696166992188e-05,1.2874603271484375e-05,1.4066696166992188e-05,1.2874603271484375e-05,1.1920928955078125e-05,1.2159347534179688e-05,1.2874603271484375e-05,1.2874603271484375e-05,1.4066696166992188e-05,1.4066696166992188e-05,1.3113021850585938e-05,1.4066696166992188e-05,1.4066696166992188e-05,1.4066696166992188e-05,1.5020370483398438e-05,1.5020370483398438e-05,1.5020370483398438e-05,1.5020370483398438e-05,1.5020370483398438e-05,1.5974044799804688e-05
300,1.2159347534179688e-05,1.0013580322265625e-05,1.0013580322265625e-05,1.71661376953125e-05,1.0013580322265625e-05,1.1920928955078125e-05,1.1920928955078125e-05,1.1920928955078125e-05,1.1920928955078125e-05,1.0013580322265625e-05,1.2159347534179688e-05,1.2159347534179688e-05,1.3828277587890625e-05,1.3828277587890625e-05,1.4781951904296875e-05,1.3828277587890625e-05,1.3828277587890625e-05,1.4066696166992188e-05,1.3828277587890625e-05,1.5020370483398438e-05,1.5020370483398438e-05,1.5020370483398438e-05,1.5020370483398438e-05,1.5020370483398438e-05,1.5974044799804688e-05,1.5974044799804688e-05,1.5974044799804688e-05,1.5974044799804688e-05,1.5974044799804688e-05,1.7881393432617188e-05
400,1.0967254638671875e-05,9.059906005859375e-06,9.775161743164062e-06,8.821487426757812e-06,9.059906005859375e-06,1.0013580322265625e-05,1.0967254638671875e-05,1.0967254638671875e-05,1.2874603271484375e-05,1.0013580322265625e-05,1.1920928955078125e-05,1.3828277587890625e-05,1.4066696166992188e-05,1.1920928955078125e-05,1.5020370483398438e-05,1.3113021850585938e-05,1.5020370483398438e-05,1.5020370483398438e-05,1.4066696166992188e-05,1.2159347534179688e-05,1.1920928955078125e-05,1.1920928955078125e-05,1.2159347534179688e-05,1.3113021850585938e-05,1.2874603271484375e-05,1.3828277587890625e-05,2.8133392333984375e-05,1.5020370483398438e-05,1.3828277587890625e-05,1.5020370483398438e-05
500,1.0967254638671875e-05,9.059906005859375e-06,1.0967254638671875e-05,1.0013580322265625e-05,1.0013580322265625e-05,1.1920928955078125e-05,1.0967254638671875e-05,1.0967254638671875e-05,1.2874603271484375e-05,1.0013580322265625e-05,1.1920928955078125e-05,1.1920928955078125e-05,1.3828277587890625e-05,1.3828277587890625e-05,1.2874603271484375e-05,1.5020370483398438e-05,1.621246337890625e-05,1.4066696166992188e-05,1.5020370483398438e-05,1.4066696166992188e-05,1.5020370483398438e-05,1.4066696166992188e-05,1.4066696166992188e-05,1.4066696166992188e-05,1.4066696166992188e-05,1.4066696166992188e-05,1.5020370483398438e-05,1.5020370483398438e-05,1.5020370483398438e-05,1.5974044799804688e-05
600,1.0967254638671875e-05,9.059906005859375e-06,1.0967254638671875e-05,9.775161743164062e-06,8.821487426757812e-06,1.0967254638671875e-05,1.1920928955078125e-05,1.1920928955078125e-05,1.2159347534179688e-05,1.0013580322265625e-05,1.1920928955078125e-05,1.2874603271484375e-05,1.4066696166992188e-05,1.3113021850585938e-05,1.4066696166992188e-05,1.4066696166992188e-05,1.4066696166992188e-05,1.5020370483398438e-05,1.6927719116210938e-05,1.4066696166992188e-05,2.9087066650390625e-05,1.5974044799804688e-05,1.5974044799804688e-05,1.5020370483398438e-05,2.09808349609375e-05,1.5974044799804688e-05,1.5020370483398438e-05,1.5020370483398438e-05,1.5974044799804688e-05,1.6927719116210938e-05
700,1.0967254638671875e-05,8.821487426757812e-06,1.0967254638671875e-05,1.0967254638671875e-05,8.821487426757812e-06,1.0967254638671875e-05,1.2874603271484375e-05,1.2874603271484375e-05,1.2159347534179688e-05,1.0013580322265625e-05,1.4066696166992188e-05,1.1920928955078125e-05,1.1920928955078125e-05,1.3828277587890625e-05,1.2159347534179688e-05,1.4066696166992188e-05,1.4066696166992188e-05,1.4066696166992188e-05,1.5974044799804688e-05,1.5020370483398438e-05,1.5020370483398438e-05,1.5974044799804688e-05,1.5020370483398438e-05,1.5020370483398438e-05,1.5974044799804688e-05,1.5020370483398438e-05,1.5020370483398438e-05,1.5020370483398438e-05,1.5974044799804688e-05,1.71661376953125e-05
800,1.0967254638671875e-05,9.775161743164062e-06,1.0013580322265625e-05,9.059906005859375e-06,8.106231689453125e-06,1.0967254638671875e-05,1.0013580322265625e-05,1.1920928955078125e-05,1.2159347534179688e-05,1.0013580322265625e-05,1.3113021850585938e-05,1.1920928955078125e-05,1.2874603271484375e-05,1.2159347534179688e-05,2.8133392333984375e-05,1.5020370483398438e-05,1.5020370483398438e-05,1.3113021850585938e-05,2.193450927734375e-05,1.1920928955078125e-05,1.6927719116210938e-05,1.5974044799804688e-05,1.6927719116210938e-05,1.6927719116210938e-05,1.5974044799804688e-05,1.5974044799804688e-05,1.6927719116210938e-05,1.5020370483398438e-05,1.4781951904296875e-05,1.5974044799804688e-05
900,1.0967254638671875e-05,9.059906005859375e-06,9.059906005859375e-06,1.0013580322265625e-05,8.821487426757812e-06,1.0013580322265625e-05,1.1920928955078125e-05,1.0013580322265625e-05,1.0967254638671875e-05,1.0013580322265625e-05,1.3113021850585938e-05,1.1920928955078125e-05,1.4066696166992188e-05,1.4066696166992188e-05,1.0967254638671875e-05,1.4781951904296875e-05,1.3828277587890625e-05,1.4781951904296875e-05,1.5020370483398438e-05,1.2874603271484375e-05,1.3828277587890625e-05,1.5020370483398438e-05,1.5974044799804688e-05,1.4066696166992188e-05,1.5974044799804688e-05,1.5974044799804688e-05,1.5020370483398438e-05,1.5020370483398438e-05,1.6927719116210938e-05,1.5020370483398438e-05
1000,1.0967254638671875e-05,9.059906005859375e-06,1.0967254638671875e-05,1.0013580322265625e-05,8.821487426757812e-06,1.1920928955078125e-05,1.2159347534179688e-05,1.3113021850585938e-05,1.2159347534179688e-05,1.0967254638671875e-05,1.3113021850585938e-05,2.002716064453125e-05,1.5020370483398438e-05,1.3113021850585938e-05,1.3113021850585938e-05,1.5020370483398438e-05,1.5020370483398438e-05,1.4066696166992188e-05,1.5974044799804688e-05,1.4066696166992188e-05,1.621246337890625e-05,1.5974044799804688e-05,1.6927719116210938e-05,1.6927719116210938e-05,1.811981201171875e-05,1.5020370483398438e-05,1.7881393432617188e-05,1.6927719116210938e-05,1.811981201171875e-05,1.5974044799804688e-05
